time,temp
32.94,25
32.94,25
32.995,25
32.995,25
33.048,25
33.048,25
33.103,25
33.103,25
33.108,25
33.174,25
33.174,25
33.176,25
33.23,25
33.23,25
33.283,25
33.283,25
33.342,25
33.342,25
33.344,25
33.411,25
33.411,25
33.467,25
33.467,25
33.473,25
33.528,25
33.528,25
33.581,25
33.581,25
33.634,25
33.634,25
33.688,25
33.688,25
33.688,25
33.741,25
33.741,25
33.795,25
33.795,25
33.848,25
33.848,25
33.903,25
33.903,25
33.903,25
33.962,25
33.962,25
34.016,25
34.016,25
34.07,25
34.07,25
34.07,25
34.129,25
34.129,25
34.184,25
34.184,25
34.241,25
34.241,25
34.241,25
34.295,25
34.295,25
34.348,25
34.348,25
34.407,25
34.407,25
34.409,25
34.461,25
34.461,25
34.514,25
34.514,25
34.576,25
34.576,25
34.577,25
34.641,25
34.641,25
34.695,25
34.695,25
34.695,25
34.749,25
34.749,25
34.803,25
34.803,25
34.862,25
34.862,25
34.862,25
34.915,25
34.915,25
34.974,25
34.974,25
35.028,25
35.028,25
35.03,25
35.083,25
35.083,25
35.141,25
35.141,25
35.195,25
35.195,25
35.248,25
35.248,25
35.302,25
35.302,25
35.302,25
35.361,25
35.361,25
35.415,25
35.415,25
35.469,25
35.469,25
35.469,25
35.526,25
35.526,25
35.581,25
35.581,25
35.635,25
35.635,25
35.641,25
35.694,25
35.694,25
35.747,25
35.747,25
35.801,25
35.801,25
35.855,25
35.855,25
35.855,25
35.909,25
35.909,25
35.968,25
35.968,25
36.027,25
36.027,25
36.027,25
36.08,25
36.08,25
36.134,25
36.134,25
36.189,25
36.189,25
36.189,25
36.243,25
36.243,25
36.297,25
36.297,25
36.351,25
36.351,25
36.408,25
36.408,25
36.408,25
36.463,25
36.463,25
36.518,25
36.518,25
36.574,25
36.574,25
36.574,25
36.629,25
36.629,25
36.682,25
36.682,25
36.74,25
36.74,25
36.742,25
36.795,25
36.795,25
36.849,25
36.849,25
36.907,25
36.907,25
36.961,25
36.961,25
36.962,25
37.017,25
37.017,25
37.07,25
37.07,25
37.127,25
37.127,25
37.181,25
37.181,25
37.181,25
37.234,25
37.234,25
37.287,25
37.287,25
37.341,25
37.341,25
37.395,25
37.395,25
37.395,25
37.449,25
37.449,25
37.502,25
37.502,25
37.56,25
37.56,25
37.562,25
37.615,25
37.615,25
37.668,25
37.668,25
37.728,25
37.728,25
37.73,25
37.783,25
37.783,25
37.839,25
37.839,25
37.893,25
37.893,25
37.947,25
37.947,25
37.947,25
38.002,25
38.002,25
38.06,25
38.06,25
38.114,25
38.114,25
38.114,25
38.173,25
38.173,25
38.227,25
38.227,25
38.282,25
38.282,25
38.282,25
38.337,25
38.337,25
38.394,25
38.394,25
38.448,25
38.448,25
38.502,25
38.502,25
38.507,25
38.566,25
38.566,25
38.621,25
38.621,25
38.674,25
38.674,25
38.674,25
38.728,25
38.728,25
38.781,25
38.781,25
38.836,25
38.836,25
38.891,25
38.891,25
38.891,25
38.945,25
38.945,25
38.998,25
38.998,25
39.052,25
39.052,25
39.108,25
39.108,25
39.108,25
39.168,25
39.168,25
39.225,25
39.225,25
39.225,25
39.28,25
39.28,25
39.333,25
39.333,25
39.387,25
39.387,25
39.441,25
39.441,25
39.441,25
39.495,25
39.495,25
39.55,25
39.55,25
39.607,25
39.607,25
39.609,25
39.663,25
39.663,25
39.718,25
39.718,25
39.774,25
39.774,25
39.776,25
39.829,25
39.829,25
39.883,25
39.883,25
39.939,25
39.939,25
39.992,25
39.992,25
39.992,25
40.047,25
40.047,25
40.101,25
40.101,25
40.173,25
40.173,25
40.175,25
40.228,25
40.228,25
40.282,25
40.282,25
40.34,25
40.34,25
40.34,25
40.394,25
40.394,25
40.45,25
40.45,25
40.507,25
40.507,25
40.507,25
40.573,25
40.573,25
40.576,25
40.631,25
40.631,25
40.684,25
40.684,25
40.74,25
40.74,25
40.742,25
40.796,25
40.796,25
40.85,25
40.85,25
40.907,25
40.907,25
40.96,25
40.96,25
40.96,25
41.014,25
41.014,25
41.068,25
41.068,25
41.126,25
41.126,25
41.126,25
41.18,25
41.18,25
41.233,25
41.233,25
41.287,25
41.287,25
41.341,25
41.341,25
41.343,25
41.397,25
41.397,25
41.451,25
41.451,25
41.514,25
41.514,25
41.514,25
41.569,25
41.569,25
41.627,25
41.627,25
41.68,25
41.68,25
41.68,25
41.735,25
41.735,25
41.792,25
41.792,25
41.845,25
41.845,25
41.899,25
41.899,25
41.899,25
41.958,25
41.958,25
42.012,25
42.012,25
42.066,25
42.066,25
42.068,25
42.124,25
42.124,25
42.178,25
42.178,25
42.233,25
42.233,25
42.287,25
42.287,25
42.287,25
42.348,25
42.348,25
42.401,25
42.401,25
42.456,25
42.456,25
42.456,25
42.51,25
42.51,25
42.564,25
42.564,25
42.622,25
42.622,25
42.622,25
42.676,25
42.676,25
42.73,25
42.73,25
42.79,25
42.79,25
42.79,25
42.845,25
42.845,25
42.899,25
42.899,25
42.953,25
42.953,25
43.009,25
43.009,25
43.009,25
43.062,25
43.062,25
43.115,25
43.115,25
43.169,25
43.169,25
43.224,25
43.224,25
43.224,25
43.278,25
43.278,25
43.332,25
43.332,25
43.391,25
43.391,25
43.446,25
43.446,25
43.446,25
43.499,25
43.499,25
43.552,25
43.552,25
43.608,25
43.608,25
43.61,25
43.664,25
43.664,25
43.717,25
43.717,25
43.773,25
43.773,25
43.827,25
43.827,25
43.827,25
43.88,25
43.88,25
43.935,25
43.935,25
43.992,25
43.992,25
43.993,25
44.047,25
44.047,25
44.1,25
44.1,25
44.157,25
44.157,25
44.213,25
44.213,25
44.213,25
44.267,25
44.267,25
44.323,25
44.323,25
44.38,25
44.38,25
44.38,25
44.434,25
44.434,25
44.489,25
44.489,25
44.544,25
44.544,25
44.597,25
44.597,25
44.597,25
44.65,25
44.65,25
44.704,25
44.704,25
44.758,25
44.758,25
44.811,25
44.811,25
44.811,25
44.864,25
44.864,25
44.919,25
44.919,25
44.975,25
44.975,25
45.028,25
45.028,25
45.082,25
45.082,25
45.082,25
45.137,25
45.137,25
45.194,25
45.194,25
45.248,25
45.248,25
45.248,25
45.301,25
45.301,25
45.357,25
45.357,25
45.411,25
45.411,25
45.465,25
45.518,25
45.574,25
45.574,25
45.629,25
45.629,25
45.629,25
45.683,25
45.683,25
45.736,25
45.736,25
45.794,25
45.794,25
45.794,25
45.847,25
45.847,25
45.9,25
45.9,25
45.956,25
45.956,25
46.01,25
46.01,25
46.01,25
46.063,25
46.063,25
46.116,25
46.116,25
46.172,25
46.172,25
46.226,25
46.226,25
46.226,25
46.279,25
46.279,25
46.333,25
46.333,25
46.39,25
46.39,25
46.444,25
46.444,25
46.444,25
46.497,25
46.497,25
46.55,25
46.55,25
46.605,25
46.605,25
46.658,25
46.658,25
46.658,25
46.711,25
46.711,25
46.766,25
46.766,25
46.822,25
46.822,25
46.877,25
46.877,25
46.93,25
46.93,25
46.93,25
46.985,25
46.985,25
47.039,25
47.039,25
47.093,25
47.093,25
47.146,25
47.146,25
47.146,25
47.199,25
47.199,25
47.254,25
47.254,25
47.309,25
47.309,25
47.362,25
47.362,25
47.362,25
47.415,25
47.415,25
47.468,25
47.468,25
47.524,25
47.524,25
47.578,25
47.578,25
47.578,25
47.633,25
47.633,25
47.689,25
47.689,25
47.743,25
47.743,25
47.743,25
47.797,25
47.797,25
47.852,25
47.852,25
47.908,25
47.908,25
47.962,25
47.962,25
47.962,25
48.016,25
48.016,25
48.069,25
48.069,25
48.124,25
48.124,25
48.178,25
48.178,25
48.178,25
48.233,25
48.233,25
48.29,25
48.29,25
48.345,25
48.345,25
48.345,25
48.398,25
48.398,25
48.452,25
48.452,25
48.51,25
48.51,25
48.564,25
48.564,25
48.566,25
48.619,25
48.619,25
48.674,25
48.674,25
48.728,25
48.728,25
48.786,25
48.786,25
48.786,25
48.843,25
48.843,25
48.896,25
48.896,25
48.951,25
48.951,25
48.951,25
49.006,25
49.006,25
49.059,25
49.059,25
49.113,25
49.113,25
49.167,25
49.167,25
49.167,25
49.223,25
49.223,25
49.277,25
49.277,25
49.331,25
49.331,25
49.39,25
49.39,25
49.39,25
49.444,25
49.444,25
49.498,25
49.498,25
49.551,25
49.551,25
49.551,25
49.605,25
49.605,25
49.658,25
49.658,25
49.711,25
49.711,25
49.711,25
49.764,25
49.764,25
49.818,25
49.818,25
49.873,25
49.873,25
49.927,25
49.927,25
49.928,25
49.985,25
49.985,25
50.039,25
50.039,25
50.094,25
50.094,25
50.148,25
50.148,25
50.15,25
50.203,25
50.203,25
50.258,25
50.258,25
50.312,25
50.312,25
50.365,25
50.365,25
50.367,25
50.419,25
50.419,25
50.476,25
50.476,25
50.53,25
50.53,25
50.59,25
50.59,25
50.59,25
50.646,25
50.646,25
50.7,25
50.7,25
50.702,25
50.757,25
50.757,25
50.812,25
50.812,25
50.865,25
50.865,25
50.918,25
50.918,25
50.918,25
50.973,25
50.973,25
51.027,25
51.027,25
51.081,25
51.081,25
51.135,25
51.135,25
51.135,25
51.191,25
51.191,25
51.246,25
51.246,25
51.299,25
51.299,25
51.353,25
51.353,25
51.353,25
51.409,25
51.409,25
51.463,25
51.463,25
51.517,25
51.517,25
51.517,25
51.572,25
51.572,25
51.627,25
51.627,25
51.681,25
51.681,25
51.734,25
51.734,25
51.791,25
51.791,25
51.791,25
51.846,25
51.846,25
51.899,25
51.899,25
51.952,25
51.952,25
52.011,25
52.011,25
52.011,25
52.065,25
52.065,25
52.119,25
52.119,25
52.176,25
52.176,25
52.176,25
52.23,25
52.23,25
52.284,25
52.284,25
52.336,25
52.336,25
52.392,25
52.392,25
52.392,25
52.445,25
52.445,25
52.5,25
52.5,25
52.556,25
52.556,25
52.558,25
52.611,25
52.611,25
52.665,25
52.665,25
52.719,25
52.719,25
52.775,25
52.775,25
52.775,25
52.829,25
52.829,25
52.882,25
52.882,25
52.935,25
52.935,25
52.991,25
52.991,25
52.991,25
53.045,25
53.045,25
53.098,25
53.098,25
53.152,25
53.152,25
53.207,25
53.207,25
53.207,25
53.26,25
53.26,25
53.313,25
53.313,25
53.367,25
53.367,25
53.422,25
53.422,25
53.476,25
53.476,25
53.476,25
53.529,25
53.529,25
53.582,25
53.582,25
53.635,25
53.635,25
53.691,25
53.691,25
53.691,25
53.744,25
53.744,25
53.797,25
53.797,25
53.85,25
53.85,25
53.905,25
53.905,25
53.905,25
53.959,25
53.959,25
54.013,25
54.013,25
54.066,25
54.066,25
54.119,25
54.119,25
54.177,25
54.177,25
54.177,25
54.23,25
54.23,25
54.284,25
54.284,25
54.338,25
54.338,25
54.341,25
54.396,25
54.396,25
54.449,25
54.449,25
54.503,25
54.503,25
54.557,25
54.557,25
54.557,25
54.61,25
54.61,25
54.664,25
54.664,25
54.72,25
54.72,25
54.725,25
54.779,25
54.779,25
54.832,25
54.832,25
54.887,25
54.887,25
54.943,25
54.943,25
54.943,25
54.997,25
54.997,25
55.052,25
55.052,25
55.106,25
55.106,25
55.159,25
55.159,25
55.159,25
55.212,25
55.212,25
55.266,25
55.266,25
55.32,25
55.32,25
55.377,25
55.377,25
55.377,25
55.431,25
55.431,25
55.485,25
55.485,25
55.539,25
55.539,25
55.593,25
55.593,25
55.593,25
55.648,25
55.648,25
55.702,25
55.702,25
55.758,25
55.758,25
55.76,25
55.813,25
55.813,25
55.866,25
55.866,25
55.922,25
55.922,25
55.976,25
55.976,25
55.976,25
56.03,25
56.03,25
56.083,25
56.083,25
56.139,25
56.139,25
56.192,25
56.192,25
56.192,25
56.247,25
56.247,25
56.3,25
56.3,25
56.354,25
56.354,25
56.41,25
56.41,25
56.41,25
56.464,25
56.464,25
56.519,25
56.519,25
56.575,25
56.575,25
56.576,25
56.629,25
56.629,25
56.682,25
56.682,25
56.737,25
56.737,25
56.795,25
56.795,25
56.849,25
56.849,25
56.849,25
56.902,25
56.902,25
56.957,25
56.957,25
57.011,25
57.011,25
57.064,25
57.064,25
57.064,25
57.118,25
57.118,25
57.178,25
57.178,25
57.233,25
57.233,25
57.233,25
57.288,25
57.288,25
57.341,25
57.341,25
57.395,25
57.395,25
57.448,25
57.448,25
57.448,25
57.501,25
57.501,25
57.556,25
57.556,25
57.61,25
57.61,25
57.663,25
57.663,25
57.663,25
57.716,25
57.716,25
57.774,25
57.774,25
57.829,25
57.829,25
57.829,25
57.883,25
57.883,25
57.936,25
57.936,25
57.993,25
57.993,25
58.046,25
58.046,25
58.046,25
58.101,25
58.101,25
58.156,25
58.156,25
58.211,25
58.211,25
58.264,25
58.264,25
58.317,25
58.317,25
58.317,25
58.373,25
58.373,25
58.427,25
58.427,25
58.48,25
58.48,25
58.534,25
58.534,25
58.534,25
58.589,25
58.589,25
58.642,25
58.642,25
58.697,25
