time	temp
6.508	21
6.529	21
6.549	21
6.577	21
6.598	21
6.618	21
6.638	21
6.66	21
6.68	21
6.702	21
6.724	21
6.745	21
6.772	21
6.793	21
6.814	21
6.836	21
6.857	21
6.877	21
6.898	21
6.919	21
6.939	21
6.965	21
6.986	21
7.007	21
7.027	21
7.049	21
7.07	21
7.091	21
7.112	21
7.132	21
7.159	21
7.179	21
7.2	21
7.222	21
7.243	21
7.263	21
7.284	21
7.305	21
7.327	21
7.348	21
7.376	21
7.397	21
7.418	21
7.439	21
7.461	21
7.482	21
7.502	21
7.523	21
7.544	21
7.571	21
7.591	21
7.614	21
7.635	21
7.656	21
7.678	21
7.699	21
7.721	21
7.742	21
7.77	21
7.792	21
7.812	21
7.833	21
7.853	21
7.874	21
7.895	21
7.916	21
7.936	21
7.962	21
7.983	21
8.006	21
8.026	21
8.048	21
8.068	21
8.089	21
8.111	21
8.132	21
8.159	21
8.179	21
8.2	21
8.22	21
8.241	21
8.261	21
8.283	21
8.303	21
8.324	21
8.347	21
8.375	21
8.397	21
8.417	21
8.439	21
8.461	21
8.481	21
8.502	21
8.523	21
8.544	21
8.571	21
8.643	21
8.665	21
8.686	21
8.707	21
8.729	21
8.749	21
8.77	21
8.791	21
8.817	21
8.839	21
8.859	21
8.879	21
8.902	21
8.923	21
8.944	21
8.965	21
8.987	21
9.013	21
9.033	21
9.055	21
9.076	21
9.096	21
9.117	21
9.138	21
9.159	21
9.179	21
9.206	21
9.227	21
9.248	21
9.27	21
9.291	21
9.311	21
9.332	21
9.353	21
9.375	21
9.401	21
9.421	21
9.443	21
9.463	21
9.483	21
9.505	21
9.526	21
9.546	21
9.567	21
9.587	21
9.614	21
9.635	21
9.656	21
9.676	21
9.697	21
9.717	21
9.738	21
9.76	21
9.781	21
9.808	21
9.829	21
9.85	21
9.87	21
9.891	21
9.912	21
9.933	21
9.954	21
9.976	21
10.003	21
10.024	21
10.045	21
10.065	21
10.086	21
10.106	21
10.127	21
10.147	21
10.168	21
10.197	21
10.218	21
10.239	21
10.261	21
10.282	21
10.303	21
10.324	21
10.345	21
10.366	21
10.392	21
10.413	21
10.433	21
10.455	21
10.475	21
10.496	21
10.517	21
10.538	21
10.559	21
10.58	21
10.607	21
10.627	21
10.648	21
10.668	21
10.689	21
10.711	21
10.732	21
10.752	21
10.773	21
10.801	21
10.822	21
10.843	21
10.865	21
10.885	21
10.907	21
10.928	21
10.948	21
10.97	21
10.997	21
11.017	21
11.039	21
11.06	21
11.08	21
11.101	21
11.122	21
11.142	21
11.163	21
11.189	21
11.211	21
11.232	21
11.253	21
11.274	21
11.295	21
11.317	21
11.338	21
11.359	21
11.385	21
11.406	21
11.426	21
11.447	21
11.467	21
11.488	21
11.509	21
11.53	21
11.551	21
11.578	21
11.599	21
11.62	21
11.641	21
11.662	21
11.682	21
11.703	21
11.726	21
11.746	21
11.767	21
11.794	21
11.814	21
11.836	21
11.857	21
11.877	21
11.898	21
11.919	21
11.94	21
11.961	21
11.988	21
12.01	21
12.03	21
12.051	21
12.071	21
12.091	21
12.112	21
12.132	21
12.153	21
12.179	21
12.2	21
12.229	21
12.25	21
12.271	21
12.292	21
12.314	21
12.334	21
12.355	21
12.383	21
12.404	21
12.425	21
12.445	21
12.466	21
12.488	21
12.509	21
12.529	21
12.55	21
12.576	21
12.597	21
12.617	21
12.638	21
12.659	21
12.679	21
12.701	21
12.723	21
12.744	21
12.765	21
12.791	21
12.812	21
12.834	21
12.855	21
12.877	21
12.901	21
12.921	21
12.941	21
12.963	21
12.99	21
13.011	21
13.032	21
13.053	21
13.075	21
13.095	21
13.116	21
13.137	21
13.158	21
13.185	21
13.207	21
13.227	21
13.248	21
13.269	21
13.29	21
13.31	21
13.33	21
13.351	21
13.378	21
13.399	21
13.42	21
13.441	21
13.462	21
13.485	21
13.505	21
13.526	21
13.546	21
13.572	21
13.594	21
13.615	21
13.637	21
13.658	21
13.678	21
13.7	21
13.72	21
13.741	21
13.767	21
13.788	21
13.81	21
13.831	21
13.852	21
